Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3226121;Prunus avium;46,5;2 496,62;897,4;144,18;1,7;0,27;1,0;1,95;N/A;N/A;230,5;0,97;N/A;3,19
3226122;Prunus avium;15,7;601,12;63,8;10,25;5,6;0,90;0,2;0,30;N/A;N/A;35,3;0,15;N/A;1,35
3226123;Tilia platyphyllos;39,5;2 671,85;382,9;61,52;12,8;2,06;1,3;2,50;N/A;N/A;296,2;1,25;N/A;5,80
3226124;Tilia platyphyllos;29,7;1 642,07;195,5;31,41;8,7;1,40;0,8;1,53;N/A;N/A;181,1;0,76;N/A;3,69
3226125;Tilia platyphyllos;42,7;3 071,27;460,1;73,93;14,2;2,28;1,5;2,80;N/A;N/A;331,9;1,40;N/A;6,48
3226126;Tilia platyphyllos;31,6;1 818,93;226,3;36,35;9,5;1,52;0,9;1,71;N/A;N/A;203,0;0,86;N/A;4,09
3226127;Tilia platyphyllos;44,3;3 282,64;501,8;80,63;14,9;2,40;1,5;2,94;N/A;N/A;348,6;1,47;N/A;6,81
3226129;Tilia platyphyllos;34,1;2 068,34;270,8;43,50;10,5;1,69;1,0;1,96;N/A;N/A;232,4;0,98;N/A;4,63
3226130;Prunus avium;13,7;542,94;45,8;7,35;4,6;0,75;0,1;0,23;N/A;N/A;27,8;0,12;N/A;1,10
3226133;Quercus robur;59,3;6 017,61;1 093,3;175,65;26,7;4,30;2,1;3,94;N/A;N/A;466,5;1,97;N/A;10,20
3226134;Carpinus betulus;9,3;240,81;22,9;3,68;2,8;0,45;0,1;0,23;N/A;N/A;27,0;0,11;N/A;0,79
